ID,NAME,LAT,LONG,ELEVATION
142,tTavascan,42.63702533,1.251637252,1102
143,tTorredembarra,41.14662156,1.418496224,2
144,tTorresSegre,41.51918531,0.548047791,214
145,tTorroellaFluvia,42.1825812,3.058754822,7
146,tTorroellaMontgri,42.02300193,3.156810545,5
147,tTorroja,41.21373013,0.809977123,327
148,tUlldecona,40.62717597,0.369949079,211
149,tUlldemolins,41.3200401,0.88561879,685
150,tVacarisses,41.59239847,1.914735119,344
151,tVallBas,42.14573351,2.454570845,461
152,tVallBoi,42.46495692,0.871486227,2311
153,tVallfogona,41.78438129,0.827961122,237
154,tVallirana,41.38076264,1.932935318,217
155,tVallsValira,42.51753185,1.365020712,2397
156,tVendrell,41.21541451,1.52033382,61
157,tVentallo,42.1502899,3.064933915,5
158,tVielha,42.69888849,0.794105045,999
159,tVielha2,42.63850113,0.778762509,2238
160,tVilablareix,41.95347613,2.776068281,114
161,tViladecans,41.29846393,2.038550692,2
162,tVilafranca,41.36615109,1.728885633,239
163,tVilanovaMeia,41.99544363,1.025554425,592
164,tVilanovaSegria,41.71455288,0.628401915,222
165,tVilanovaValles,41.55050498,2.286530991,98
166,tVilarodona,41.30725303,1.362609678,285
167,tVilassar,41.51171214,2.386767277,44
168,tVilobi,41.88544631,2.741050621,118
169,tVinebre,41.18431377,0.594328349,49
170,tVinyols,41.08086743,1.066150831,31
