ID,NAME,LAT,LONG,ELEVATION
123,pMediona,41.48492084,1.69190182,327
124,pMeranges,42.46740974,1.779421073,2268
125,pMiralcamp,41.60996072,0.875503049,261
126,pMollo,42.37735768,2.414855338,1407
127,pMonistrol,41.59555413,1.836774267,918
128,pMontblanc,41.36478312,1.179845465,296
129,pMontella,42.28881879,1.713131008,2347
130,pMontella2,42.32047027,1.662378648,1507
131,pMontmaneu,41.60256359,1.400703282,785
132,pMontmell,41.34235448,1.486292839,548
133,pMuntanyola,41.87812207,2.178025219,810
134,pNulles,41.25121485,1.298390542,240
135,pOdena,41.58527017,1.653000084,331
136,pOliana,42.07674961,1.315217161,492
137,pOliola,41.87705472,1.154231302,446
138,pOlot,42.1881312,2.470967323,433
139,pOrganya,42.21630854,1.331320224,568
140,pOris,42.07405238,2.20886639,625
141,pOs,41.87255404,0.718494001,476
142,pOs2,41.87743163,0.758533247,544
143,pPapiol,41.44885595,1.995677423,38
144,pParets,41.56729124,2.226138009,106
145,pParlava,42.02146305,3.060212741,16
146,pPasteral,41.98443601,2.601414188,186
147,pPeralada,42.30419876,3.008759796,14
148,pPerello,40.87311862,0.715634565,173
149,pPinell,41.97692701,1.395834689,655
150,pPinos,41.79646293,1.521197,635
151,pPlansSio,41.68823407,1.203677258,429
152,pPoal,41.67299547,0.877358769,223
153,pPoblaSegur,42.23929637,0.964217276,514
154,pPoblaSegur2,42.2632794,1.015627745,540
155,pPontMolins,42.31551754,2.917968379,42
156,pPortbou,42.43505378,3.166429339,196
157,pPrades,41.31397188,0.997524452,976
158,pQuar,42.08077637,1.96202869,860
159,pQueralbs,42.39862265,2.155214636,1970
160,pQueralt,41.52985522,1.367064185,715
161,pRellinars,41.6327216,1.917432556,425
162,pRibaRoja,41.2439519,0.43277583,61
163,pRipoll,42.17219216,2.194229581,652
164,pRiudecanyes,41.13493135,0.960270444,240
165,pRoca,41.61966489,2.360394416,158
166,pRoquetes,40.77051482,0.297363439,1099
167,pRoses,42.27053272,3.182523882,25
168,pSabadell,41.56562666,2.069596759,259
169,pSallent,41.78762938,1.91716489,244
170,pSantMartiRiucorb,41.57230448,1.088393168,414
171,pSantMartiSarroca,41.37517655,1.63000818,258
172,pSantPau,42.2584787,2.364429353,852
173,pSantPerePescador,42.17665711,3.095740108,3
174,pSantPereRibes,41.27845618,1.804703017,157
175,pSantQuinti,41.45869656,1.664099955,297
176,pSantQuirze,42.09642376,2.214018089,668
177,pSantSadurni,41.44349748,1.788187977,122
178,pSantSadurni2,41.43384238,1.794256277,165
179,pSantSalvador,41.67418051,1.767183925,346
180,pSau,41.96862496,2.413554059,425
181,pSavalla,41.54365031,1.298500669,846
182,pSeros,41.46043353,0.407130303,98
183,pSerraDaro,42.02608644,3.070750566,13
184,pSeuUrgell,42.3707942,1.432727825,848
185,pSeuUrgell2,42.36068417,1.453537471,698
186,pSiurana,41.24964238,0.913800784,472
187,pSort,42.40527536,1.129938005,679
188,pSuert,42.39771913,0.743757573,824
189,pSuria,41.81351335,1.762733581,261
190,pTagamanent,41.74765415,2.302826152,1030
191,pTallada,42.0541921,3.062020138,15
192,pTarragona,41.1038862,1.200967403,6
193,pTarrega,41.66727997,1.162939982,435
194,pTavascan,42.63702533,1.251637252,1102
195,pTerradets,42.04849624,0.894260093,379
196,pTorredembarra,41.14662156,1.418496224,2
197,pTorresSegre,41.51918531,0.548047791,214
198,pTorroellaFluvia,42.1825812,3.058754822,7
199,pTorroellaMontgri,42.02300193,3.156810545,5
