id,recall_rec_id,yr,t_step,flo,sed,ptl_n,ptl_p,no3_n,sol_p,chla,nh3_n,no2_n,cbn_bod,oxy,sand,silt,clay,sm_agg,lg_agg,gravel,tmp
1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,0,29.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,0,15.7287671232877,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,589.150684931507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0,0,100.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0,0,30.0,0.0,0.0,300.0,0.0,0.0,0.0,450.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,0,615.122,0.0,0.21318395648616,1.1897293944375,4.69004704269552,0.0,0.0,2.20290088369032,0.0,4.031912746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0,0,0.408219178082192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0,0,2.82191780821918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.315068493151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0,0,48.5,0.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0,0,0.353424657534247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0,0,754.002,0.0,0.282315455715528,6.4700573785,6.21094002574162,0.0,0.0,2.91725970906046,0.0,5.90164848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
