activitat_,nom_abocam,Punt2
"NESTLÉ ESPAÑA, SA","NESTLÉ ESPAÑA, SA (SORTIDA AIGÜES REFRIGERACIÓ + PLUVIALS)",438
"COMSA  EMPRESA CONSTRUCTORA, SA","COMSA EMPRESA CONSTRUCTORA, SA (ABOCAMENT AIGUES DE DRENATGE TÚNEL)",281
"HOSTAL PEDRAFORCA, SA",HOSTAL PEDRAFORCA SL (SORTIDA DEPURADORA),589
"AGRÍCOLA I SECCIÓ DE CRÈDIT D'ALBINYANA, SCCL",COOPERATIVA AGRÍCOLA D'ALBINYANA (SANITÀRIES),61
"SUCESORES DE F. MASENS, SA","ABOC.SUCESORES DE FRANCISCO MASENS, SA (SORTIDA DEPURADORA)",
"LAFOU, SL. (URBANITZACIÓ MAS DE LES FONTS)",Abocament URBANITZACIO MAS DE LES FONTS - torrent Fondo de les Fonts,107
"SERRA Y MOTA, SA","Abocament SERRA & MOTA, SA-riu Ter",445
"ENDESA GENERACION, SA  -C.H. CARBUROS MONTESQUIU-",ENDESA GENERACION (llera) - riu Ter,484
DIPUTACIO DE BARCELONA - CENTRE D'INFORMACIO CAN CASADES,DIPUTACIO DE BARCELONA (CENTRE D'INFORMACIÓ CAN CASADES),342
"FORMIGONS LA VALL D'EN BAS, SLU  -FORBAS-",LA TOLOSA,486
ROSA TARRÉS FERRER,ROSA TARRES FERRER - (llera),352
AJUNTAMENT DE PIERA (BARRI CAN CANALS),AJUNTAMENT DE PIERA_BARRI DE CAN CANALS (SORTIDA DEPURADORA),141
"RAMOS TRENZADO, ALBERT (MASIA FONT DEL TORT)","RAMOS TRENZADO, ALBERT ( RESTAURANT MASIA FONT DEL TORT): TORRENT DE VALL-LLOSEERA",296
"SAINT-GOBAIN CRISTALERIA, SL","Abocament SAINT-GOBAIN CRISTALERIA, SA - torrent de la Pallisseta",65
"PALÀ COMAPOSADA, JOSEP M.",JOSEP M. PALA COMAPOSADA  (SORTIDA DEPURADORA),227
"PUJOL-GALCERAN DE VISA SITJAR, CARLES -CÀMPING-MASIA SADERNES-",CARLES PUJOL GALCERAN -CAMPING MASIA SADERNES- (SORTIDA DEPURADORA),550
UTE OLOST-OLVAN,UTE OLOST-OLVAN,270
"BOSCH SISTEMAS DE FRENADO, SLU","ABOC.BOSCH SISTEMAS DE FRENADO, SLU: 021999005112",307
"FARBOS LLEVANT, S.L.","REC VELL DEL MOLÍ (FRUTÍCOLA L'ESCALA,SA) AA2003002181",
"JARO, SL",CAN RAFOLS DELS CAUS (SANITÀRIES),92
"PLUS-FELT, SL","PLUS FELT, SL: CLAVEGUERAM DEL POLÍGON INDUSTRIAL GASERANS I DESPRÉS LA TORDERA",353
"TUBERT LLENSA, ARTUR  -RESTAURANT CAL FERRER-",AA2003000328 TORRENT DE L'ARN_x000D_,561
EDAR BELLVER DE VILOBÍ DEL PENEDÈS,MANCOMUNITAT PENEDÈS-GARRAF EDAR DE BELLVER:  RASA  AL TORRENT DELS PRATS,75
"HOTEL & SPA LA COLLADA, SL",HOTEL GRAN TERMES LA COLLADA (SORTIDA DEPURADORA),496
"RAE CHO, BEOM -CLUB GOLF TARADELL-","RIEROL GURRI (LEISURE 95, SL)",470
"VALLS MUNTADA, JORDI",Abocament ESCORXADOR MUNICIPAL DE BRUNYOLA - torrent de Sant Martí,420
"GESTIONES E INVERSIONES COSMOLAND, SL",CHATEAUFORM ESPAÑA  (ABOC. A LLERA) AA2019000475,126
"FERRÉ ROIG, ARMONIA","FERRÉ ROIG, ARMONIA:TORRENT DE CAN BARATA",116
JUNTA DE COMPENSACIÓ SECTOR P-7,JUNTA DE COMPENSACIÓ SECTOR P-7 INDUSTRIAL SOLVAY,172
"DESGUACE LA ROCA, SL","DESGUACES LA ROCA, SANITÀRIES",290
CASA DE COLÒNIES MOGENT (FUNDACIÓ CHAMPAGNAT),RIU MOGENT (CASA DE COLÒNIES MOGENT),325
"LUTECAF, SA -SANTS METGES HOTEL-","LUTECAF, SA (SORTIDA SANITÀRIES I CUINA)",414
"VINYOLS-CAMP ECOAGRICULTURA I TURISME, SL","Abocament VINYOLS-CAMP ECOAGRICULTURA I TURISME, SL (AA2002001573)",
AJUNTAMENT DE SANT CUGAT DEL VALLES,AJUNTAMENT DE SANT CUGAT DEL VALLES (LLERA),286
EDAR LES CASES NOVES,EDAR LES CASES NOVES - SOBREEIXIDOR ENTRADA,463
"RESTAURANT PIGUILLEM, SL","Abocament RESTAURANT PIGUILLEM, SL (depuradora)",478
"PARCS AQUÀTICS DE LA COSTA BRAVA, SL  -WATER WORLD-",PARCS AQUÀTICS DE LA COSTA BRAVA-LLORET (SORTIDA RENTAT FILTRES),
AJUNTAMENT DE PIERA,TORRENT LES PLANES (BARRI CAN BOU),150
"CODERCH PRUNÉS, MARTA",MARTA CODERCH PRUNÉS- SORTIDA DEPURADORA,534
"TRANSPORTES AMADOR GARCIA GONZALEZ, SA","TRANSPORTES AMADOR GARCÍA GONZÁLEZ, SA (SORTIDA SANITÀRIES, RENTAT I PLUVIALS CONTAMINADES)",172
"AIGÜES VALLFLORIDA, SLU",COMUNITAT DE REGANTS DE ST ESTEVE DE PALAUTORDERA (ACTUAL),339
AJUNTAMENT DE MALLA  -EDAR SECTOR RIERA DE MUNTER-,URBANITZACIÓ  LA RIERA  (AJUNTAMENT DE MALLA)  SORTIDA DEPURADORA,472
"FORMIGONS ALSINA, SL  -CAMPLLONG-",FORMIGONS ALSINA  (RENTAT EXTERN DE CAMIONS + AIGÜES HIDROCARBURADES),426
"MAHLE, SA","TORRENT D'ARTIS ( MAHLE, SA)",
"UNITEX, SA","UNITEX, SA: 021998000222 - AB 1",360
"CANALS CUSSO, JOSEP",JOSEP CANALS CUSSO (llera),197
"INFRAESTRUCTURES VIARIES DE CATALUNYA, SA","INFRAESTRUCTURES VIARIES DE CATALUNYA, SA (PEATGE ALELLA) SORTIDA DEPURADORA",
"RESTAURANT CAN GENERAL, SL","RESTAURANT CAN GENERAL, SL (SORTIDA DEPURADORA)",425
"CERAMICAS PIERA, SL","ABOCAMENT CERÀMICA PIERA, SL (AIGÜES SANITÀRIES)",181
"AUTEMA, SA",AUTEMA SA (OFICINES DEL PEATGE DE CASTELLBELL I EL VILAR),604
"ESTEBAN ESPUÑA, SA  -PLANTA PERNIL CURAT-","ESTEBAN ESPUÑA, SA  -PLANTA PERNIL CURAT-  (SORTIDA AIGUA REFRIGERACIÓ)",536
"GENERAL DE GASOLINERAS, SL","GENERAL DE GASOLINERAS, SL: TORRENT CALDERÓ",424
"CENTRE DE GESTIÓ MEDIAMBIENTAL, SL",CENTRE DE GESTIÓ MEDIAMBIENTAL (SORTIDA SANITÀRIES),157
"C. GIL, SA","TORRENT DE CAN LLADÓ - C.GIL,SA",164
"CONFIGIRONA, SA","CONFIGIRONA, SA  (SORTIDA AIGÜES PLUJANES + REFRIGERACIÓ)",443
AJUNTAMENT DE LA COMA I LA PEDRA,URBANITZACIÓ MOSSOLL (AA2012000747),239
"CEMEX ESPAÑA OPERACIONES, SLU -PLANTA DE GURB-","HORMICEMEX, SA (SORTIDA DEPURADORA EMPRESA)",597
"CAMIÓ AUTO RIPOLLÈS, SL","CAMIÓ AUTO RIPOLLÈS, SL  (SORTIDA AIGÜES SANITÀRIES)",489
"LIDEROU, SL","LIDEROU, SL  (SORTIDA DEPURADORA EMPRESA)",559
"CHUBB IBERIA, SL","CHUBB PARSI, SL (SORTIDA DEPURADORA)",14
"MULTIESTACIONES 2014, SL - E.S. VALLS","LORRY PETROL, SL: TORRENTDEL PUIG",38
"RECUPERACIÓ DE PEDRERES, SL -DIPÒSIT CONTROLAT VACAMORTA-",ABOCADOR VACAMORTA (SORTIDA AIGÜES PLUVIALS SEMINETES),389
"ANADAUTO, SL","ANADAUTO, SL (SORTIDA PRETRACTAMENT)",386
AGRUPACIÓ ESPORTIVA DEL RIPOLLÈS,AGRUPACIÓ ESPORTIVA DEL RIPOLLÈS  (SORTIDA DEPURADORA),499
"VILAFRANCA SERVEIS AVICOLES 2014, SL","VILAFRANCA SERVEIS AVICOLES 2014, SL  (SORTIDA DEPURADORA)",73
"SOCIEDAD ESPAÑOLA DE CARBUROS METALICOS, SA -  DIV. INDUSTRIAL","S.E. CARBUROS METALICOS, SA  (PLUVIALS)",31
"FRIBEL, SA","FRIBEL, SA  (SORTIDA DEPURADORA EMPRESA)",
"FINDLAY INDUSTRIES ESPAÑA, SL","FINDLAY INDUSTRIES ESPAÑA, S.L. (SORTIDA DEPURADORA)",132
EDAR URB. SECTOR ELS PRATS  (VILADEMULS),Abocament AJUNTAMENT DE VILADEMULS URBANITZACIÓ DEL SECTOR ELS PRATS - Reg de Can Biel,406
"LES COMES DE SERAROLS, SL","LES COMES DE SERAROLS, SL: TORRENT DE BOGADELLA",217
"CENTRE DE GESTIÓ MEDIAMBIENTAL, SL",BERCONTRES ESPLUGA FRANCOLI ABOCAMENT  PLUVIALS A BARRANC MAS D'EN XUP,47
"RUNES SALSÀ, SL","BOFILL POU, JOSEP MARIA",371
"EUROPEA DEL HOGAR Y LA LIMPIEZA EUROLAR, SL","EUROPEA DEL HOGAR Y LA LIMPIEZA EUROLAR, SL (SORTIDA DEPURADORA EMPRESA)",530
"HIDRODATA, SA - CH EL CAIRAT","HIDRODATA, SA  C.H. CAIRAT   (SORTIDA TRACTAMENT)",189
"VINICOLA DEL PAIS, SAU","Abocament de BODEGAS ROQUETA, SA (022001000193)",254
"CANTERAS LA PONDEROSA, SA - PEDRERA D'ALCOVER",CANTERAS LA PONDEROSA- BARRANC DE LA ROMIGUERA,35
AJUNTAMENT DE SANT MATEU DE BAGES (SANT MATEU DE BAGES),EDAR VALLS DE TORROELLA,222
"ALTA CRUZ, SA",ALTA CRUZ (SORTIDA RESIDUALS),108
CENTRO DE INVESTIGACIÓN Y DESARROLLO APLICADO SAL,Abocament CENTRO DE INVESTIGACIÓN Y DESARROLLO APLICADO SAL - torrent Cosidor,300
AIGÜES TER LLOBREGAT (PLANTA SANT JUST DESVERN),AIGUES TER LLOBREGAT - BOCA SUD TUNEL FONTSANTA-TRINITAT,99
"EMBUTIDOS SABARÍ, SL","EMBUTIDOS SABARÍ, SL  (SORTIDA DEPURADORA)",441
"CEPSA, SAU","EXPRESOIL, SL (CEPSA) (Sortida depuradora)",74
"HOSTAL MARLET, SC",HOSTAL MARLET SC (SORTIDA DEPURADORA),359
"DOG EDUCAT, SL","DOG EDUCAT, SL",213
"FICOSA ELECTRONICS, SLU","SONY ESPAÑA, SA BL20060696 (FERTIRRIGACIÓ)",179
AJUNTAMENT DE GELIDA,ABOCAMENT DEL POLIGON LA GELIDENSE,129
"ESTACIÓ DE SERVEI VALLGORGUINA, SL",REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS SA - ES 12.543 VALLGORGUINA (SORTIDA DEPURADORA),333
"SOTA EL SUI, SL (HOTEL CAN CUCH)",SOTA EL SUI SL (SORTIDA DEPURADORA),322
"JIMÉNEZ CARMONA, ENCARNA",ENCARNA JIMÉNEZ CARMONA,427
"AGROMILLORA IBERIA, SLU",022001000111,134
"LA FARGA VELLA,S.L. (HOSTAL LES FONTS)","LA FARGA VELLA, S.L.(HOSTAL LES FONTS) 021996000195",592
AJUNTAMENT DE SANT POL DE MAR (CENTRE DE RECOLLIDA SELECTIVA),AJUNTAMENT DE SANT POL DE MAR (ABOCAMENT),329
EDAR RAJADELL (RAJADELL I FONOLLOSA),EDAR RAJADELL (AJUNTS. DE RAJADELL I FONOLLOSA) (ABOCAMENT A RIU),209
"PARCET POU, SARA (RESTAURANT CAN QUEL)",ABOC. RESTAURANT CAN QUEL,357
"GEOGRAF, SA - CH EL COLLET","ABOCAMENT GEOGRAF, SA - RIERA DE SALDES",280
"CRUELLS MONTASELL, CB (RESTAURANT CAN CAMBÓ)",ABOC. RESTAURANT CAN CAMBÓ,344
"MILLAN BLANCO, JOSÉ MARIA",ABOCAMENT JOSE MARIA MILLAN BLANCO   (LLERA),423
"SOREA, SDAD REG ABASTECIMIENTO AGUAS, SA (ALELLA)","SOREA, SA - RIERA D'ALELLA  (SORTIDA REBUIG OSMOSI INVERSA)",
"ROVIRA CLOTET, JESUS (CAMPING MASIA CAL PARADIS)",Abocament CAMPING MASIA CAL PARADIS (JESUS ROVIRA CLOTET) - riera de Saló,223
"TORRE DE CASANOVA, SCP",TORRENT DE L'OCELLA / RIERA DE CASTELLNOU,250
"EXPLOTACIONS TURÍSTIQUES CYPSELA, SA  -CÀMPING CYPSELA-",CÀMPING CYPSELA  (SORTIDA DEPURADORA EMPRESA),
AJUNTAMENT DE RUBIÓ (RUBIO),AJUNTAMENT DE RUBIÓ (EL PLA DE RUBIÓ): RASOT DE CAL MARTÍ-RIERA DE RUBIÓ,169
"FRIGORIFICOS UNIDOS, SA -FRIUSA-","FRIGORIFICOS UNIDOS, SA -FRIUSA-  (SORTIDA DEPURADORA EMPRESA)",425
"CEMENTOS MOLINS INDUSTRIAL, SA",CIMENTS MOLINS EXTRACTIVA LA FOU (SORTIDA FOSSA SÈPTICA 2),108
"DESGUACES LA CABAÑA, SL",DESGUACES LA CABAÑA PLUVIALS PUNT 3,316
AJUNTAMENT DE CORBERA DE LLOBREGAT,AJUNTAMENT DE CORBERA DE LLOBREGAT (SORTIDA PLUVIALS I REG PAVIMENTS),111
"OLOT MEATS, SA",ABOCAMENT EDAR OLOT MEATS,542
FUNDACIO VEDRUNA CATALUNYA EDUCACIO -ESCOLA BEDRUNA GIRONA-,ESCOLA VEDRUNA (SORTIDA DEPURADORA),418
"CAN FERRAN, SA",CAN FERRAN SA (SORTIDA DEPURADORA),126
"GALPGEST PETROGAL ESTACIONES DE SERVICIO, SLU",GALP DISTRIBUCION OIL ESPAÑA - E.S. VALLIRANA (ARQUETA PRÈVIA A L'ABOCAMENT),108
"ÁRIDOS Y DERIVADOS CARTRÓ, SA",ARIDOS Y DERIVADOS CARTRO SA (sortida aigües d'escolament),317
"AVÍCOLA MARIA, SA","AVÍCOLA MARIA, SA  (SORTIDA AIGÜES RESIDUALS)",395
AJUNTAMENT DE PALAU DE SANTA EULÀLIA EDAR 3 (ZONA NORD),AJUNTAMENT DE PALAU DE SANTA EULALIA (SORTIDA DEPURADORA 2),575
"COLL SUBIRÀ, GENÍS  -CAMPAMENT JUVENIL LA FARGA-",ALBERG LA FARGA (SORTIDA FOSSA + FILTRE),497
RESIDENCIA DE DISMINUITS PSIQUICS JOAN XXIII - INST.CATALÀ D'ASSIST. I SERV. SOCIALS,RESIDENCIA DE DISMINUITS PSIQUICS JOAN XXIII ( llera),288
"CAMPSA ESTACIONES DE SERVICIO, SA (E.S.TÚNELS DE VALLVIDRERA Nº96.348)",ESTACIÓ DE SERVEI TÚNELS DE VALLVIDRERA Nº96.348,110
AJUNTAMENT DE SANT FELIU DE BUIXALLEU,AJUNTAMENT DE SANT FELIU-NUCLI URBÀ (SORTIDA DEPURADORA),351
"TAPISSERIA BATALLE, SL","TAPISSERIA BATALLE, SL: RIERA D'ARBÚCIES",349
"LINARES TALLÓ, JORDI",JORDI LINARES TALLÓ (SORTIDA DEPURADORA),194
"SANOFI AVENTIS, SA","SANOFI AVENTIS, SA (Sortida depuradora pròpia)",355
CLUB CARAVANING AQUA ALBA,ABOC.CEMENTIRI: CLUB CARAVANING AQUA ALBA,346
"RESTAURANT CAL JEPET, SL","CAL JEPET, SL",195
"TEXPLAN, SA","Abocament 1 TEXPLAN, SA - torrent innominat que tributa a la riera de Cogolls",449
"AUTOESCOLA FONT, SL","AA2003001645 RIERA ELS JONCARS (AUTOESCOLA FONT, SL)",243
"GASERAN, SA","GASERAN, SA (arqueta aigües sanitàries)",353
"SOCIETAT GENERAL D'AIGÜES DE BARCELONA, SA","Abocament SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA (022000000086)",94
"JAUME ESCAYOLA I CIÓ, S.L.","JAUME ESCAYOLA I CIÓ, S.L. (SORTIDA PLUVIALS)",254
"DOMINGO JANÉ, ANNA  -TURISME RURAL CAN ETXALDE-",CAN ETXALDE (SORTIDA AIGÜES PRETRACTAMENT),552
CASADEMONT 1956 MEAT SL,"CASADEMONT 1956 MEAT, SA (SORTIDA DEPURADORA EMPRESA)",443
"POMPAS FÚNEBRES DEL RIPOLLÈS, SL","POMPAS FÚNEBRES DEL RIPOLLÈS, S.L (sortida depuradora)",490
"AUTORECICLAJE Y GRUAS ROLDAN, SCP","AUTORECICLAJE Y GRUAS ROLDÁN, SCP (sortida separador hidrocarburs)",66
"ESPAI NATURAL SANT DEL FAI, SL","ESPAI NATURAL SANT MIQUEL DEL FAI, SL   (SORTIDA DEPURADORA)",309
"MAS GIL, SL  -CLOS D'AGON-","MAS GIL, SL ""CLOS D'AGON"" (SORTIDA DEPURADORA)",384
"CAMPSA ESTACIONES DE SERVICIO, SA (MARGE DRET)",EESS CAMPSA NÚM. 96283 MARGE DRET (SANTA AGNÈS): RIU MOGENT,610
"PERE GIRALT SAGRERA, SA  -PLANTA RECICLATGE-",PERE GIRALT SAGRERA,395
EDAR LAVERN,EDAR LAVERN,137
"FIBRAS HILADAS ESTEVA, SA","ABOCAMENT FIBRAS HILADAS ESTEVA, SA (AIGÜES SOBRANTS CONDICIONAMENT NAU)",272
ÀREA D'ESPAIS NATURALS - DIPUTACIÓ DE BARCELONA,ÀREA D'ESPLAI DE LES ARENES (SORTIDA DEPURADORA),294
"ITG BAIX, SL (INDUSTRIA DE TRATAMIENTO GALVANICO)","Abocament ITG BAIX, SL  (Sortida depuradora) - riera de Vallirana",108
AJUNTAMENT D'ALCOVER (EDAR ROQUES ROGES),POLIGON INDUSTRIAL ROQUES ROGES (SORTIDA DEPURADORA),37
"GALPGEST PETROGAL ESTACIONES DE SERVICIO, SLU - ÀREA DE SERVICIO DE GIRONÉS","AGIP ESPAÑA, SA (SORTIDA SEPARADOR D'HIDROCARBURS)",425
"AIGUES PUIGMAL, SL (RIBES DE FRESER)","AIGÜES PUIGMAL, SL (ABOCAMENT AIGÜES CONTRARRENTAT)",493
"FARRERAS BARCELÓ, AGNÈS","FARRERAS BARCELÓ, AGNÈS",208
"CAN PIPA, SL","CAN PIPA , SL (SANT PERE PESCADOR) 3",509
"BODEGUES SUMARROCA, SL","ABOCAMENT 2 BODEGUES SUMARROCA, SL",134
"TARRAGÓ RUIZ DE LA FUENTE, M. DE LAS NIEVES -CAN TORRA-","TARRAGÓ RUIZ DE LA FUENTE,MA. DE LAS NIEVES (SORTIDA DEPURADORA)",420
EDAR LES BORGES DEL CAMP,EDAR LES BORGES DEL CAMP: RIERA D'ALFORJA,8
"AREAS 2021, SLU - ÀREA DE SERVEI DE L'HOSPITALET",021996000080-Barranc innominat,
"IMAR SANT HILARI, SL","IMAR SANT HILARI, S.L (sortida pretractament)",349
"GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L","GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L  (arqueta sortida)",117
"COMERCIAL QUIMICA MASSO, SA",ABOCAMENT AIGÜES REFRIGERACIÓ COMERCIAL QUÍMICA MASSÓ,85
"AGUAS DANONE, SA  -MANANTIAL FONTER-","AGUAS DANONE, SA  -MANANTIAL FONTER-  (SORTIDA DEPURADORA EMPRESA)",448
"BARCONS GRIFELL, JOSÉ (CAMPING LA RIBERA)",CAMPING LA RIBERA (SORTIDA SANITARIES),236
"FILATS GONFAUS, SA","FILATS GONFAUS, SA  (SORTIDA DEPURADORA)",267
"DESGUACES F. BENEDI, SL",DESGUACES F BENEDI (SORTIDA PLUVIALS),84
COMUNITAT SALESIANA GIRONA,COMUNITAT SALESIANA GIRONA (SORTIDA FOSSA SÈPTICA),535
GOLF HOTEL F&G LA FIGUEROLA,GOLF HOTEL F&G LA FIGUEROLA:  BARRANC DE LA GOMALA,1
"CERÁMICAS PRÍNCEP, SL","CERÁMICAS PRÍNCEP, SL  (SORTIDA DEPURADORA EMPRESA SOBREEIXIDOR)",595
"AUTEMA, SA",AUTEMA SA (SORTIDA EDIFICI MANTENIMENT + BOX DE RENTAT DEL PEATGE DE CASTELLBELL I EL VILAR),604
"FORMIGONS ALSINA, SL  -CAMPLLONG-",FORMIGONS ALSINA  (RENTAT EXTERN DE FORMIGONERES + PLUVIALS),426
"SOCIEDAD ESPAÑOLA DE CARBUROS METALICOS, SA -  DIV. INDUSTRIAL",abocament carburos metálicos,31
"FRIGORÍFICS DE L'EMPORDÀ, SA  -SALT-","Abocament  FRIGORIFICOS DEL TER, SA SEQUIA A8 XARXA BESCANO-SALT",436
"EL MARGARIT DE ST. GREGORI, SL","ABOC. RESTAURANT ""CASTELL DE SANT GREGORI"" -REC INNOMINAT",440
ESSITY SPAIN SL - PUIGPELAT 2,"ABOCAMENT SCA HYGIENE PAPER ESPAÑA, SL",49
"GOMÀ-CAMPS, SAU - FACTORIA 1","ABOCAMENT DE GOMA CAMPS, SA",42
"BAR RESTAURANT GARGALLÀ, SL","BAR RESTAURANT GARGALLÀ, SL (SORTIDA TRACTAMENT)",225
"FRANCISCO PUIGVERT, SL","FRANCISCO PUIGVERT, SL  (SORTIDA REFRIGERACIÓ)",536
"MASIAS CODINA, CARLES  -CÀMPING MASIA CAN PATXET-",CÀMPING MASIA CAN PATXET (SORTIDA PRETRACTAMENT),563
AJUNTAMENT DE RIUDARENES - ZONA ESPORTIVA,Abocament AJUNTAMENT DE RIUDARENES (ZONA ESPORTIVA - Riu Esplet,374
"GIRÓ BARELLA, EDUARDO",EDUARDO GIRÓ BARELLA (LLERA),415
"AMBIENTES LUIS TORRES, SL","AMBIENTES LUIS TORRES, SL (SORTIDA SANITÀRIES)",25
"GEST OIL CENTER, SL","GEST OIL CENTER, SL (SORTIDA TRACTAMENT)",421
"PALLARÈS ICART, EDUARD",EDUARD PALLARÈS ICARD (SORTIDA DEPURADORA),253
"IBERINOX 88, SA","Abocament 5 IBERINOX 88, SA Riera de la Salut aigües pluvials",101
"GRANJA CRUSVI, SA - MONTBLANC","GRANJA CRUSVI, SL (sortida depuradora)",45
BENEDICTINES MONESTIR DE SANT BENET,BENEDICTINES MONESTIR DE SANT BENET: TORRENT INNOMINAT,191
"AREAS, SA  (A. DEL GIRONES)",Abocament: AREA DE SERVEI DEL GIRONÈS (AREAMED 2000): Torrent Calderó/Onyar/Ter,425
"HORNO DE SAN JUAN, SL -SANT JULIÀ DEL LLOR I BONMATÍ-","HORNO SAN JUAN, SL.(NETEJA ZONES MANIPULACIÓ ALIMENTS): RIU TER",615
"HOSTALERIA CROVI, SL","HOSTALERIA CROVI, SL: TORRENT DE BOSCANS",594
"SOLÀ COSTA, PILAR","SOLÀ COSTA, PILAR_Abocament",381
FUNDACIÓN FILOKALIA AMIGOS DE AMMA,FUNDACIÓN FILOKALIA - AMIGOS DE AMMA,150
"GRUAS VIÑOLAS, SL","GRUES VIÑOLAS, SL (SORTIDA DEPURADORA)",373
"CAN PIJAUME, SL",CAN PIJAUME SL (SORTIDA DEPURADORA),614
REAL CLUB DE GOLF - EL PRAT,REAL CLUB DE GOLF EL PRAT - llera,126
AJUNTAMENT DE GÓSOL - ALBERG MOLÍ DE GÓSOL,Abocament ALBERG MOLI DE GOSOL (AJUNTAMENT DE GOSOL)  - riu Torrensenta,241
"POLIÈSTER JM, SC",ABOCAMENT POLIÈSTER JM SC,510
"SALA RIBALTA, XAVIER",XAVIER SALA RIBALTA - Torrent de Cantagalls,252
AEC GRIS FUNDACIO PRIVADA,GRANJA ESCOLA CASTELLÓN AEC-GRIS (SORTIDA DEPURADORA),20
"E.ON GENERACION, SL (CENTRAL TERM. DE CERCS)",ENEL VIESGO GENERACIÓN TÉRMICA SL (REFRIGERACIÓ),278
BISER THERMOTECH S.L.,SEIACO SA,307
"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 1: aigües de mina + dutxes pis 3),279
"GABARRE FLORES, FRANCISCO","GABARRE FLORES, FRANCISCO _ RIU MANOL",507
"CÀMPING ROCA GROSSA, SL","ABOC. CAMPING ROCA GROSA, SL (021993000013)",
"LLONGARRIU RURAL, SL -CAN COMA D'EN ROCA-","LLONGARRIU RURAL, S.L (sortida depuradora) - Torrent de la Coma d'en Roca",540
"FLINT GROUP IBERIA, SL","ABOC.FLINT GROUP IBERIA, SA (ABANS BASF SISTEMAS DE IMPRESION SA)",316
"AUTOGRÚAS SANT JORDI, SL",AUTOGRUAS SANT JORDI SL (ABOCA 1),132
"CREIXELL, SA",MATERIALS I TRANSPORTS DE LA CONSTRUCCIÓ CREIXELL ( AIGÜES PLUVIALS),395
"PETROLIS INDEPENDENTS, SL","PETROLIS INDEPENDENTS, SL: RIERA DE GAUSACS",610
"FIBRAS HILADAS ESTEVA, SA","FIBRAS HILADAS ESTEVA, SA (SORTIDA DEPURADORA)",272
"A. RAYMOND TECNIACERO, SAU",021993000004 - AB 1,245
EDAR DE CAN BRANQUES -ORÍS-,EDAR DE CAN BRANQUES (SORTIDA DEPURADORA),481
FUNDACIO CATALANA DE L'ESPLAI - ESCOLA LA TRAÜNA,DIPUTACIÓ DE BARCELONA - llera,337
"PUIG SANTASUSANA, JOSEP",AA2002000723(RESTAURANTE MIRADOR DEL FAI,309
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II)",E.S. GASERANS I (SORTIDA TRACTAMENT AIGUES POTENC. HIDROCARBURADES I SANITÀRIES),613
AUTORITAT PORTUÀRIA DE TARRAGONA (TARRAGONA),AUTORITAT PORTUÀRIA DE TARRAGONA  (SORTIDA TRACT. NÚM.18)  ABOC. RIU FRANCOLÍ,
AJUNTAMENT DE VESPELLA DE GAIÀ,AJUNTAMENT DE VESPELLA DE GAIÀ-MASOS DE VESPELLA (SORTIDA DEPURADORA),52
"BOLEA LORDAN, JOAN ANTON","BOLEA LORDAN, JOAN ANTON (SORTIDA DEPURADORA)",77
CASA COLÒNIES LA CARRAL,CASA DE COLÒNIES LA CARRAL (SORTIDA DEPURADORA),235
"RAMÓN VENTULÀ, SA  -OLOT ANTIGA MONVERVI-",RAMÓN VENTULÀ FIGUERES (ABOCAMENT AIGÜES REFRIGERACIÓ),537
"AMANN SPAIN, SL","AA2003001326-BELFIL,SA",221
"MIGUEL TORRES, SA","MIGUEL TORRES, S.A. (SORTIDA DEPURADORA)",74
"ROURA ANGLADA, SA  -ROANSA-","Abocament de ROURA ANGLADA, SA (ROANSA) - torrent de Sant Jaume",470
"ENDESA GENERACION, SA   -C.H. BOADELLA-",ENDESA GENERACION SA -DARNIUS-,524
"ENRIC JUNCÀ, SL",ENRIC JUNCÀ SL (SORTIDA DEPURADORA),540
"ECO-GIRONINA DE DEPÒSITS, SL","ECOGIRONINA DE DIPÒSITS, SL (AIGÜES DOMÈSTIQUES INFILTRACIÓ TERRENY)",423
"STOCKMEIER QUIMICA, SL","ABOCAMENT INDUSTRIAS KERN ESPAÑOLA, SA (INDUKERN)",299
"RIDELBAMAR, SL","RIDELBAMAR, SL (SORTIDA DEPURADORA)",
RESTAURANT EL MOLÍ BLANC,DAVID HERRERIAS BATLLA - MASIA MOLÍ BLANC,146
"GASERAN, SA","GASERAN, SA (arqueta aigües procés destil·lació)",353
"SAVASUN, S.A.","SAVASUN, SA (BARRANC DE CANYERETES)",2
"RAMON VENTULÀ, SA  -LA VALL DE BIANYA-","RAMON VENTULÀ, SA  (SORTIDA AIGÜES REFRIGERACIÓ)",542
INCASOL - COLÒNIA SEDÓ,INCASOL - COLÒNIA SEDÒ: LLERA DEL RIU LLOBREGAT,188
"PRESTACIÓN Y CONSERVACIÓN DE COLECTIVIDADES, SA - BUGADERIA","PRESTACIÓN Y CONSERVACIÓN DE COLECTIVIDADES, SA (SORTIDA PROCÉS RENTAT, SANITÀRIES, NETEJA)",19
