activitat_,nom_abocam,Punt2
"METALURGICA FOLCH, SL","AA2003001393-METALURGICA FOLCH, SL",5
"CAMPING LA BALMA, SL",CAMPING LA BALMA (SORTIDA DEPURADORA),459
"COBEGA EMBOTELLADOR, SLU",ABOCAMENT COBEGA 1B COL·LECTOR BIOLÒGIC,304
"ROGET AUTOMOCIÓ, SL-GARATGE ROGET-",EMILI ROGET ARMENGOL (sortida depuradora),430
DIA RETAIL ESPAÑA SA,"Abocament DIA, SA - riera de Vilamajor",324
AJUNTAMENT DE SANT FELIU DE BUIXALLEU,AJUNTAMENT DE SANT FELIU DE BUIXALLEU_EQUIPAMENTS (SORTIDA DEPURADORA),353
"IBERINOX 88, SA","Abocament 3 IBERINOX 88, SA Riera de la Salut aigües pluvials",101
FUNDACIÓ CATALONIA (CENTRE MONTSERRAT MONTERO),FUNDACIÓ CATALONIA (CENTRE MONTSERRAT MONTERO): TORRENT DE CAN COLL,288
"CASA ANAMARIA RESORT, SLU -HOTEL CASA ANAMARIA-",HOTEL CASA ANAMARIA  (SORTIDA DEPURADORA) - REC DE LA FONT SANTA,570
"TERRASSA NETA, SA",TERRASSA NETA (SORTIDA SANITÀRIES DEPURADES),125
CAMPING CAMPALANS SL,"FRONTANYÀ RURAL, SL (SORTIDA DEPURADORA)",277
"TEXPLAN, SA","Abocament 2 TEXPLAN, SA - torrent innominat que tributa a la riera de Cogolls",449
ASOCIACIÓN RETO A LA ESPERANZA,ASSOCIACIÓ RETO A LA ESPERANÇA (SORTIDA DEPURADORA),177
"UTE GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA","UTE GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA (SORTIDA POU DE REGISTRE)",293
"RECUPERACIÓ DE PEDRERES, SL -DIPÒSIT CONTROLAT VACAMORTA-",ABOCADOR VACAMORTA (SORTIDA TRACTAMENT LIXIVIATS),390
REMAR CATALUNYA,REMAR CATALUNYA (SORTIDA DEPURADORA),122
"INICIATIVAS NAMBE, SL","INICIATIVAS NAMBE, SL (SORTIDA DEPURADORA)",374
"AUTOPISTAS AUMAR, S.A.C.E.","AUTOPISTAS AUMAR, S.A.C.E. (LAVABOS US EXCLUSIU TREBALLADORS) CAMBRILS",
"COMERCIAL CATALANA DE MAQUINARIA TEXTIL, S.A.",COMERCIAL CATALANA DE MAQUINARIA TEXTIL SA,188
DIPUTACIÓ DE BARCELONA - RECTORIA DE VALLCÀRQUERA,DIPUTACIÓ DE BARCELONA (sortida fossa sèptica) - riera de Vallcàrquera,313
"CLEMENTE SAURA, PEDRO","CLEMENTE SAURA, PEDRO (SORTIDA TRACTAMENT)",109
"HOTEL EL BRUC, SL",HOTEL EL BRUC SL (SORTIDA DEPURADORA),185
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",AUTOPISTAS CONCESIONARIA ESPAÑOLA (PEATGE AP-2): BARRANC INNOMINAT,45
"CRODA IBÉRICA, SA (MEVISA SITE)","ABOC. REFRIGERACIÓ CRODA OLEOCHEMICALS IBÉRICA, SA (MEVISA SITE)",360
"SOLER & DEGOLLADA, SA",022002000029-Torrent Sabanell,140
"COMPLEJO TURISTICO CAN PUIG, C.B.",COMPLEJO TURISTICO CAN PUIG CB (Sortida depuradora),234
"CONSTRUCCIONES H. HERRERA, SL","CONSTRUCCIONS H.HERRERA, SL (SORTIDA TRACTAMENT)",532
"IRMASOL, SA","IRMASOL, S.A. (SORTIDA AIGÜES REG DE PAPERS I PLUVIALS)",298
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU - PEATGE DE BANYERES","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU: BARRANC INNOMINAT",64
MINISTERIO DE FOMENTO - UTE AUTOVIA B-40,MINISTERIO DE FOMENTO - UTE AUTOVIA B-40: TORRENT DE SANT JAUME,176
"EDIFICIS EMPORDÀ, SA","EDIFICIS EMPORDÀ, SA (SORTIDA DEPURADORA EMPRESA)",525
"ADES, SL","ADES, SL (SORTIDA SANITÀRIES: 3 PUNTS D'ABOCAMENT IGUALS)",319
CONSORCI PAR DE COLLSEROLA,Abocament CONSORCI PARC DE COLLSEROLA (022000000131),600
"CARGILL, SLU",CARGILL-RIU LLOBREGAT,170
"PGI SPAIN, SL - PLANTA INDUSTRIAL","PGI SPAIN, SL (RIERA DE LA SELVA)",33
"DESGUACES TRECE, SL","DESGUACES TRECE, SL (SORTIDA PRETRACTAMENT)",606
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE AP-7 GELIDA SORTIDA 26 (SORTIDA TRACTAMENT),129
"GOHER TEXTIL CALELLA, SA",RIU TORDERA GOHER TEXTIL CALELLA 021999005083,353
"ACEROS PARA LA CONSTRUCCION, SA","Abocament 1 ACEROS PARA LA CONSTRUCCION, SA -",68
"MB. PAPELES ESPECIALES, SA","ABOCAMENT MB PAPELES ESPECIALES, RIU ANOIA",156
CONSORCI DE GESTIÓ DE RESIDUS MUNICIPALS DEL BAIX CAMP,RIERA DE RIUDECOLS (CONS. PER LA GESTIO RES. MUNIC. DEL B. CAMP),7
"MENADIONA, SL",RIERA REIXACH (MENADIONA),331
"GOMEZ BEDMAR, CONCEPCION",Gomez Bedmar (aboc osmosi),345
"SAURA CARLES, MONTSERRAT",MONTSERRAT SAURA CARLES (SORTIDA DEPURADORA),
"ANODICOLOR, SLU",RIERA DEL PALAU (ANODICOLOR),118
"RED-GOM,SCP","RED-GOM, SCP (sortida filtre biològic)",205
"CAL PARENT RESORT, SL","CAL PARENT RESORT, SL  (SORTIDA DEPURADORA)",556
"CONSTRUCCIONES H. HERRERA, SL","CONSTRUCCIONES H.HERRERA, SL",532
"EL GINEBRÓ DE VILOPRIU, SL","EL GINEBRO DE VILOPRIU, S.L (SORTIDA SORTIDA DEPURADORA)",397
"GUINART PARERA, MONTSERRAT",MONTSERRAT GUINART PARERA (SORTIDA DEPURACIÓ),611
"DHL SUPPLY CHAIN (SPAIN), SLU",ABOCAMENT EMPRESA DHL - TORRENT INNOMINAT AFLUENT DEL RIU ANOIA,129
AJUNTAMENT DE PIERA - BARRI CAN BONASTRE,AJUNTAMENT DE PIERA - BARRI CAN BONASTRE: TORRENT DEL QUELÓ (DESGUASSA EN EL TT DE SANTA MAGDALENA),150
"ESTER I FABRIÀS, FRANCESC","ESTER I FABRIÀS, FRANCESC",229
EDAR MOLLÓ,EDAR MOLLÓ,505
"TRACTAMENTS I SERVEIS AMBIENTALS VILA, SL",FERRAN VILA VILA (SORTIDA DEPURADORA NETEJA CAMIONS),411
"DOMINGUEZ VAZQUEZ, ROSER (PETIT BAR CRAM)","Abocament PETIT BAR-DOMINGUEZ VAZQUEZ, ROSER  - riu Brugent",42
"GRAN CASINO DE BARCELONA, SL",AA2002000862 (FICTICI),
FUNDACIÓ UNIVERSITAT I TECNOLOGÍA,FUNDACIÓ PRIVADA UNIVERSITAT I TECNOLOGIA (SORTIDA DEPURADORA),283
"SUCESORES DE CERAMICA DE PAPIOL, SA","SUCESORES DE CERAMICA DE PAPIOL, SA (SORTIDA DEPURADORA)",112
"C.V. MÉDICA, SL","C.V. MÉDICA, SL (SORTIDA DEPURADORA)",48
AJUNTAMENT DE VALLMOLL (EDAR PI EL MAS VELL),POLÍGON INDUSTRIAL EL MAS VELL (AJUNTAMENT DE VALLMOLL): TORRENT DEL BOGATELL,29
PROMOCIONES PERALTA SL,"PROMOCIONES PERALTA, SL  (SORTIDA FOSSA SÈPTICA + FILTRE))",53
"RESIDENCIA PLA DE MARTÍS, SCCL","RESIDÈNCIA PLA DE MARTÍS, SL  (SORTIDA DEPURADORA EMPRESA)",567
"RESIDÈNCIA ELS CIRERERS, SL","RESIDÈNCIA ELS CIRERES, SL (SORTIDA DEPURADORA)",407
"FISA RECUBRIMIENTOS, SA",FISA RECUBRIMIENTOS (SORTIDA RESIDUALS),341
"CONSTRUCCIONES RUBAU, SA","CONSTRUCCIONES RUBAU, SA  (SORTIDA PRETRACTAMENT)",414
"PRAT POLIESTER, SL",PRATS I POLIESTER_RIERA DE GARRUMBERT,567
AJUNTAMENT DE SANT LLORENÇ D'HORTONS,POLÍGON INDUSTRIAL CAN SERRA III (SORTIDA DEPURADORA),131
"TRACTAMENTS DE SUPERFICIES, SL","Abocament TRACTAMENT DE SUPERFÍCIES, SL -Clavegueram i riu Llobregat",273
"GUARRO CASAS, SA","RIU ANOIA (GUARRO CASAS, SA)",289
"DESGUACES TRECE, SL","DESGUACES TRECE, SL (SORTIDA PRETRACTAMENT4)",317
AMPANS,AMPANS (DEPURADORA TORRE DEL FILL),204
"ARKEMA QUÍMICA, SAU","ABOC.CRAY VALLEY IBERICA, SA A LA RIERA DE VALLGORGUINA",334
"DESGUACES DE AUTOMOVILES, SL",DESGUACES DE AUTOMOVILES SL (SORTIDA FOSSA SEPTICA),305
"SODECA, SLU","SODECA, SLU  (SORTIDA DEPURADORA EMPRESA)",483
"TERREAL ESPAÑA DE CERAMICAS, SAU","TERREAL ESPAÑA DE CERAMICAS, SAU  (SORTIDA PRETRACTAMENT)",402
"MAS MERCADER, NARCIS",NARCIS MAS MERCADER (LLERA),352
"ROUSSELOT GELATIN, SL","ROUSSELOT GELATIN, SL (SORTIDA DEPURADORA)",405
"NOVUS CAROTENOID TECHNOLOGIES, SAU",Abocament INQUIFASA,26
"J. VILASECA, SA","TORRENT FONT DE LA REINA (J.VILASECA, SA)",154
"PALOU MIR, LURDES",LURDES PALOU MIR (SORTIDA TRACTAMENT),365
"GONZALEZ COVAS, JUAN",JUAN GONZALEZ COVAS (SORTIDA TRACTAMENT),404
"GESTORA DE RUNES DEL BAGES, SL","GESTORA DE RUNES DEL BAGES, SL (SORTIDA PLUVIALS POTENCIALMENT CONTAMINADES)",216
CASA RURAL - JORDI VAYREDA BOFILL,AA2003001151 (FICTICI),541
"CESARI BOHIGAS, JOAN",JOAN DOMINGUEZ SANCHEZ (SORTIDA FOSSA+FILTRE),303
"CÀMPING ESPONELLÀ, SL",Abocament CÀMPING ESPONELLÀ - Riu Fluvià,566
"FERRER VILARRUBI, SA","022001200002-FERRER VILARRUBÍ,SA",152
"SERRA PEREZ, CONCEPCIÓN -RESTAURANT MASIA CAL SORDET-",RESTAURANT MASIA CAL SORDET (SORTIDA PRETRACTAMENT),544
"FUEGO VITAL, SL","FUEGO VITAL, SL (SORTIDA TRACTAMENT)",616
"BUSQUETS VALDEVELL, MARIA TERESA",MARIA TERESA BUSQUETS VALDEVELL (sortida sistema de tractament),338
"TORRES PALOU, MARTÍ",MARTÍ TORRAS PALOU - MAS SERRADELL (SORTIDA DEPURADORA),491
AJUNTAMENT D'ÒDENA  - NUCLI L'ESPELT,AJUNTAMENT D'ÒDENA  (NUCLI DE L'ESPELT:  TORRENT DEL CANET - RIU ANOIA,164
AJUNTAMENT DE VILOPRIU,AJUNTAMENT DE VILOPRIU (EDAR I COL·LECTORS DE GAÜSES),397
"AGRÍCOLA I CAIXA AGRÀRIA I SECCIÓ DE CRÈDIT DE BRÀFIM, SCCL","COOPERATIVA AGRICOLA I CAIXA AGRARIA DE BRÀFIM, SCCL(SORTIDA SANITÀRIES)",55
"ESTAMPADOS GASERANS, SL",RIU TORDERA,353
"EXIDE TECHNOLOGIES RECYCLING, SL",EXIDE TECHNOLOGIES RECYCLING SL (PLUVIALS PATIS I TEULADES) (SORTIDA DEPURADORA),444
"JANSA SAPERAS, MARIA ROSA",MARIA ROSA JANSA SAPERAS (sortida sistema de tractament),70
"GREEN PLANET EVENTS, SL","GREEN PLANET EVENTS, SL (SORTIDA TRACTAMENT BAR)",317
JUNTA DE COMPENSACIÓ POLI.INDUSTRIAL CAN BAS,POLIG.IND. CAN BAS - AJUNTAMENT (SORTIDA DEPURADORA),137
TESCA SPAIN BARCELONA S.L.U.,"ABOC.TREBORTEX, SL - RIU LA TORDERA",360
"GRUAS DE AUTOMOCIÓN J. MAS, SL",GRUAS DE AUTOMOCIÓN J. MAS SL (SORTIDA PRETRACTAMENT),14
"SNOP ESTAMPACION, SA","RIU ANOIA (SNOP SYSTEMS CATALUNYA, SA)",158
AJUN.SANT FELIU BUIXALLEU(EDAR I COL.EL DUCAT DEL MONTSENY),TORRENT DE CAN RAURELL (URBANITZACIÓ DUCAT DEL MONTSENY),354
EDAR LES CASETES D'EN RASPALL,MANCOMUNITAT PENEDÈS -GARRAF: TORRENT DE LES CASETES D'EN RASPALL,140
"AUTOREC, SL - RECUP. VEHICLES INDUSTRIALS",AUTOREC (SORTIDA PLUVIALS SORTIDA DECANTADOR),178
AJUNTAMENT DE LA BISBAL DEL PENEDÈS,AJUNTAMENT BISBAL DEL PENEDÈS_URBANITZACIONS LA MASIETA I L'ESPLAI DEL PENEDÈS (SORTIDA DEPURADORA),62
"CEPSA ESTACIONES DE SERVICIO, SA",CEPSA GASOCENTRO Martorell. connexió clavegueram Polígon Ind.,120
"ECOGIRONINA DE DIPÒSITS, SL",ABOCAMENT PLUVIALS A RIU GÜELL D'ECOGIRONINA DE DIPÒSITS,435
AJUNTAMENT DE CASTELLNOU DE BAGES,AJUNTAMENT DE CASTELLNOU DE BAGES - TORRENT SERRA DELS MORTS,246
"CUMANERA WONDER, SLU","CUMANERA WONDER, SLU (SORTIDA DEPURADORA)",521
MANCOMUNITAT INTERMUNICIPAL PENEDÈS I GARRAF,MANCOMUNITAT INTERMUNICIPAL PENEDES-GARRAF. TORRENT DE PUIGCOGUL,148
"MASAI MARA 2006, SL -RESTAURANT EL PINÓS-",RESTAURANT EL PINÓS  (SORTIDA AIGÜES SANITÀRIES),608
"CANTERAS VALSAN, SA (RA-MONTJUÏC-AMPLIACIÓ II)","CANTERAS VALSAN, SA (MONTJUIC)",242
"RETAL IBERIA, SLU","ABOCAMENT RETAL ITALIA, SPA (LLERA)",613
"TOMÀS FUENTES, DOLORS  -RESTAURANT LA CORBA-","TOMAS FUENTES, DOLORS -RESTAURANT LA CORBA- (SORTIDA DEPURADORA)",492
"CENTROS COMERCIALES CARREFOUR, SA","CENTROS COMERCIALES CARREFOUR, SA RIERA D'ARGENTONA",
"PERE VILA CARBONELL, SL",Pere Vila Carbonell_ Riu Gurri,467
"DISA PENINSULA, SLU - E.S. FRANCOLI","DISA PENINSULA, S.A - E.S.FRANCOLI: RIERA DEL MAS DELS SOSTRES",24
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU-PEATGE FIGUERES N (SORTIDA TRACTAMENT)",522
S.A. TINTES TEXTILES-81,Abocament de SA TINTES TEXTILES-81 (AA2002000832),188
LLAR D'INFANTS MUNICIPAL DE DOSRIUS,LLAR D'INFANTS MUNICIPAL DOSRIUS (SORTIDA DEPURADORA),327
SAGRADA FAMILIA DE URGEL-INSTITUTO HERMANAS CURIA,SAGRADA FAMILIA DE URGEL-INSTITUTO HERMANAS DE LA CURIA,116
"ARENALES DE MAR, SA -GOLF SERRES DE PALS-","ARENALES DE MAR, S.A - rec d'es Coll",396
EDAR L'ALZINAR,MANCOMUNITAT PENEDÈS-GARRAF EDAR DE L'ALZINAR: FONT DE CAN COSTA,139
"BAGUÉ SALVÀ, DOLORS -RESTAURANT ELS CORTALS DEL MIG-",RESTAURANT ELS CORTALS  (SORTIDA TRACTAMENT),350
POLÍGON INDUSTRIAL PONT CREMAT,APLICACIONES ELECTRONICAS Y COMUNICACIONES SL,349
"PONS ANGLADA, LLUIS",LLUIS PONS ANGLADA (SORTIDA DEPURADORA),455
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 3 URBANITZACIO FINCA OASIS - riera de Sant Jaume,174
"IQAP MASTERBATCH GROUP, SL","IQAP MASTERBATCH GROUP, SL (SORTIDA AIGÜES RESIDUALS)",464
"MORA Y GOMA, SA",021999000162-BRUGENT,41
"HERNÁNDEZ PÉREZ, EMILIO","HERNÁNDEZ PÉREZ, EMILIO - CASA CA L'EMILI",243
"CERÀMIQUES LA PEÇA, SC","ABOCAMENT CERAMIQUES LA PEÇA, SC",358
"CAMPSA ESTACIONES DE SERVICIO, SA (E.S. SANT ESTEVE SE",ESTACIÓ DE SERVEI 2264: TORRENT DEL GRAU,122
